# dt = 0.0001	 dx = 0.05	 Tfinal = 1.5
# numpts = 600	 Focus = 1
7.3	0.0030605
7.35	0.00305229
7.4	0.00305392
7.45	0.00306288
7.5	0.0030695
7.55	0.00306747
7.6	0.00305948
7.65	0.00305342
7.7	0.00305457
7.75	0.00306128
7.8	0.00306737
7.85	0.00306796
7.9	0.00306309
7.95	0.00305694
8	0.00305408
8.05	0.00305622
8.1	0.00306142
8.15	0.00306605
8.2	0.00306735
8.25	0.00306488
8.3	0.00306037
8.35	0.00305637
8.4	0.00305481
8.45	0.00305616
8.5	0.00305952
8.55	0.0030633
8.6	0.00306605
8.65	0.00306693
8.7	0.00306587
8.75	0.00306342
8.8	0.00306038
8.85	0.00305754
8.9	0.00305542
8.95	0.00305426
9	0.003054
9.05	0.00305444
9.1	0.00305531
9.15	0.00305636
9.2	0.0030574
9.25	0.00305831
9.3	0.00305905
9.35	0.00305961
9.4	0.00306
9.45	0.00306027
9.5	0.00306044
9.55	0.00306055
9.6	0.00306061
9.65	0.00306065
9.7	0.00306067
9.75	0.00306068
9.8	0.00306068
9.85	0.00306067
9.9	0.00306067
9.95	0.00306066
10	0.00306065
10.05	0.00306064
10.1	0.00306063
10.15	0.00306062
10.2	0.00306061
10.25	0.0030606
10.3	0.0030606
10.35	0.00306059
10.4	0.00306058
10.45	0.00306057
10.5	0.00306056
10.55	0.00306055
10.6	0.00306054
10.65	0.00306053
10.7	0.00306052
10.75	0.00306051
10.8	0.0030605
10.85	0.00306049
10.9	0.00306048
10.95	0.00306047
11	0.00306046
11.05	0.00306045
11.1	0.00306044
11.15	0.00306043
11.2	0.00306042
11.25	0.00306041
11.3	0.0030604
11.35	0.00306039
11.4	0.00306037
11.45	0.00306036
11.5	0.00306035
11.55	0.00306034
11.6	0.00306033
11.65	0.00306032
11.7	0.00306031
11.75	0.0030603
11.8	0.00306029
11.85	0.00306028
11.9	0.00306027
11.95	0.00306026
12	0.00306025
12.05	0.00306024
12.1	0.00306023
12.15	0.00306022
12.2	0.0030602
12.25	0.00306019
12.3	0.00306018
12.35	0.00306017
12.4	0.00306016
12.45	0.00306015
12.5	0.00306014
12.55	0.00306013
12.6	0.00306012
12.65	0.00306011
12.7	0.00306009
12.75	0.00306008
12.8	0.00306007
12.85	0.00306006
12.9	0.00306005
12.95	0.00306004
13	0.00306003
13.05	0.00306001
13.1	0.00306
13.15	0.00305999
13.2	0.00305998
13.25	0.00305997
13.3	0.00305996
13.35	0.00305994
13.4	0.00305993
13.45	0.00305992
13.5	0.00305991
13.55	0.0030599
13.6	0.00305989
13.65	0.00305987
13.7	0.00305986
13.75	0.00305985
13.8	0.00305984
13.85	0.00305983
13.9	0.00305981
13.95	0.0030598
14	0.00305979
14.05	0.00305978
14.1	0.00305976
14.15	0.00305975
14.2	0.00305974
14.25	0.00305973
14.3	0.00305972
14.35	0.0030597
14.4	0.00305969
14.45	0.00305968
14.5	0.00305967
14.55	0.00305965
14.6	0.00305964
14.65	0.00305963
14.7	0.00305962
14.75	0.0030596
14.8	0.00305959
14.85	0.00305958
14.9	0.00305956
14.95	0.00305955
