# dt = 0.0001	 dx = 0.05	 Tfinal = 1.5
# numpts = 600	 Focus = 1
11.7	0.00185692
11.75	0.00197631
11.8	0.00209076
11.85	0.00219996
11.9	0.00230365
11.95	0.00240157
12	0.00249347
12.05	0.00257912
12.1	0.0026583
12.15	0.00273083
12.2	0.00279651
12.25	0.00285518
12.3	0.0029067
12.35	0.00295094
12.4	0.00298778
12.45	0.00301714
12.5	0.00303893
12.55	0.00305311
12.6	0.00305964
12.65	0.0030585
12.7	0.0030497
12.75	0.00303326
12.8	0.00300921
12.85	0.00297763
12.9	0.00293858
12.95	0.00289218
13	0.00283852
13.05	0.00277776
13.1	0.00271003
13.15	0.00263551
13.2	0.00255439
13.25	0.00246687
13.3	0.00237317
13.35	0.00227353
13.4	0.00216818
13.45	0.00205741
13.5	0.00194148
13.55	0.00182069
13.6	0.00169533
13.65	0.00156573
13.7	0.00143221
13.75	0.0012951
13.8	0.00115474
13.85	0.00101149
13.9	0.000865713
13.95	0.000717764
14	0.000568018
14.05	0.000416849
14.1	0.000264637
14.15	0.000111764
14.2	-4.13889e-05
14.25	-0.000194437
14.3	-0.000346996
14.35	-0.000498684
14.4	-0.000649122
14.45	-0.000797932
14.5	-0.000944741
14.55	-0.00108918
14.6	-0.00123089
14.65	-0.00136952
14.7	-0.00150471
14.75	-0.00163613
14.8	-0.00176345
14.85	-0.00188635
14.9	-0.00200452
14.95	-0.00211767
