# dt = 0.0001	 dx = 0.05	 Tfinal = 1.5
# numpts = 600	 Focus = 1
4.2	0.00257052
4.25	0.00265051
4.3	0.00272385
4.35	0.00279037
4.4	0.0028499
4.45	0.00290229
4.5	0.0029474
4.55	0.00298513
4.6	0.00301538
4.65	0.00303808
4.7	0.00305316
4.75	0.00306059
4.8	0.00306035
4.85	0.00305244
4.9	0.00303688
4.95	0.00301372
5	0.002983
5.05	0.00294481
5.1	0.00289924
5.15	0.0028464
5.2	0.00278644
5.25	0.00271949
5.3	0.00264572
5.35	0.00256533
5.4	0.00247851
5.45	0.00238548
5.5	0.00228647
5.55	0.00218174
5.6	0.00207153
5.65	0.00195614
5.7	0.00183585
5.75	0.00171095
5.8	0.00158177
5.85	0.00144863
5.9	0.00131186
5.95	0.0011718
6	0.0010288
6.05	0.000883232
6.1	0.000735448
6.15	0.000585821
6.2	0.000434727
6.25	0.000282544
6.3	0.000129654
6.35	-2.35605e-05
6.4	-0.000176715
6.45	-0.000329426
6.5	-0.000481311
6.55	-0.00063199
6.6	-0.000781084
6.65	-0.00092822
6.7	-0.00107303
6.75	-0.00121515
6.8	-0.00135422
6.85	-0.00148991
6.9	-0.00162185
6.95	-0.00174973
7	-0.00187323
7.05	-0.00199203
7.1	-0.00210585
7.15	-0.00221438
7.2	-0.00231736
7.25	-0.00241454
7.3	-0.00250567
7.35	-0.00259051
7.4	-0.00266887
7.45	-0.00274054
7.5	-0.00280534
7.55	-0.00286311
7.6	-0.00291371
7.65	-0.002957
7.7	-0.00299289
7.75	-0.00302127
7.8	-0.00304209
7.85	-0.00305528
7.9	-0.00306082
7.95	-0.00305869
8	-0.00304889
8.05	-0.00303145
8.1	-0.00300642
8.15	-0.00297385
8.2	-0.00293384
8.25	-0.00288647
8.3	-0.00283187
8.35	-0.00277017
8.4	-0.00270153
8.45	-0.00262613
8.5	-0.00254414
8.55	-0.00245578
8.6	-0.00236126
8.65	-0.00226083
8.7	-0.00215474
8.75	-0.00204325
8.8	-0.00192663
8.85	-0.00180519
8.9	-0.00167923
8.95	-0.00154906
9	-0.00141501
9.05	-0.00127742
9.1	-0.00113662
9.15	-0.000992979
9.2	-0.000846849
9.25	-0.000698598
9.3	-0.000548598
9.35	-0.000397224
9.4	-0.000244855
9.45	-9.18735e-05
9.5	6.13372e-05
9.55	0.000214393
9.6	0.000366911
9.65	0.000518509
9.7	0.000668807
9.75	0.000817428
9.8	0.000963999
9.85	0.00110815
9.9	0.00124953
9.95	0.00138778
10	0.00152255
10.05	0.0016535
10.1	0.0017803
10.15	0.00190265
10.2	0.00202023
10.25	0.00213274
10.3	0.00223991
10.35	0.00234147
10.4	0.00243716
10.45	0.00252674
10.5	0.00260999
10.55	0.0026867
10.6	0.00275668
10.65	0.00281974
10.7	0.00287575
10.75	0.00292454
10.8	0.00296601
10.85	0.00300005
10.9	0.00302656
10.95	0.0030455
11	0.0030568
11.05	0.00306044
11.1	0.00305642
11.15	0.00304473
11.2	0.00302542
11.25	0.00299853
11.3	0.00296412
11.35	0.00292229
11.4	0.00287313
11.45	0.00281677
11.5	0.00275336
11.55	0.00268305
11.6	0.00260601
11.65	0.00252245
11.7	0.00243257
11.75	0.00233659
11.8	0.00223475
11.85	0.00212732
11.9	0.00201456
11.95	0.00189675
12	0.00177419
12.05	0.00164718
12.1	0.00151605
12.15	0.00138112
12.2	0.00124273
12.25	0.00110123
12.3	0.000956969
12.35	0.000810311
12.4	0.000661624
12.45	0.000511279
12.5	0.000359655
12.55	0.000207131
12.6	5.40888e-05
12.65	-9.90878e-05
12.7	-0.000252015
12.75	-0.00040431
12.8	-0.00055559
12.85	-0.000705477
12.9	-0.000853595
12.95	-0.000999573
13	-0.00114305
13.05	-0.00128365
13.1	-0.00142104
13.15	-0.00155487
